empresa,cnpj
REAG - FUNDO DE INVESTIMENTOS NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DIREITOS,49637238 CREDITORIOS
REAG - 38 PARTICIPACOES LTDA,49758259
REAG - AUCTION OPPORTUNITIES FUNDO DE INVESTIMENTO IMOBILIARIO,50375550
REAG - QISTA CASH FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,50651069
REAG - ESTRUTURA E DESPORTO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,51059165
REAG - WM GROWTH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO CREDITO,51479676 PRIVADO
REAG - VANGUARD GLOBAL SYSTEMATIC I FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO,51565801 EXTERIOR
REAG - SPORTAINMENT I FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,51569359
REAG - RAIZ FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - IMOBILIARIO,51623575
REAG - OVERSEAS LTDA,51976313
REAG - 51 PARTICIPACOES LTDA,51996340
REAG - TRUST S.A,52270350
REAG - 55 PARTICIPACOES LTDA,52403940
REAG - WEALTH MANAGEMENT S.A,52475549
REAG - 57 PARTICIPACOES LTDA,52493941
REAG - ECP HOLDING LTDA,52496776
REAG - BCS PARTICIPACOES S.A,52594323
REAG - ASSET MANAGEMENT PART S.A,52810883
REAG - SPORTAINMENT CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,52842504
REAG - LEGAL CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,53205572
REAG - SEGURADORA SA,53759974
REAG - INDUSTRIA E COMERCIO DE METAL NAO FERROSO LTDA,54257407
REAG - DESENVOLVIMENTO IMOBILIARIO LOGISTICO INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIARIO,54436120
REAG - 64 PARTICIPACOES LTDA,55261932
REAG - WM GESTAO DE PATRIMONIO LTDA,55262405
REAG - TRUST ADMINISTRACAO DE RECURSOS LTDA,55262477
REAG - REFERENCIADO DI CASH FUNDO DE INVESTIMENTO RENDA FIXA,55390985
REAG - TRUST CONTROLADORIA DE ATIVOS LTDA,55610872
REAG - REFERENCIADO DI CASH II FUNDO DE INVESTIMENTO RENDA FIXA,55897551
REAG - CONSIG PUBLICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,56049721
REAG - 68 PARTICIPACOES LTDA,56265589
REAG - ECP PARTNERS LTDA,56267176
REAG - 67 PARTICIPACOES LTDA,56268186
REAG - 70 PARTICIPACOES LTDA,57047033
REAG - REFERENCIADO ZERAGEM FUNDO DE INVESTIMENTO RENDA FIXA,57939856
REAG - 74 PARTICIPACOES LTDA,58359299
REAG - SEGUROS PARTNERS LTDA,58363469
REAG - 75 PARTICIPACOES LTDA,58364393
REAG - ORBIZ PARTICIPACOES LTDA,58369057
REAG - LEGAL CLAIMS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,58546382
REAG - 72 PARTICIPACOES LTDA,58560065
REAG - SPRAY MONTAGEM E COMERCIO LTDA,58972175
REAG - 80 PARTICIPACOES LTDA,59535016
REAG - 77 PARTICIPACOES LTDA,59535991
REAG - 79 PARTICIPACOES LTDA,59556006
REAG - 76 PARTICIPACOES LTDA,59560163
REAG - 78 PARTICIPACOES LTDA,59574837
REAG - WILL CASH FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CREDITO PRIVADO,59697226
REAG - REFERENCIADO CDI FUNDO DE INVESTIMENTO RENDA FIXA,59750387
REAG - COMERCIO DE CONFECCOES LTDA,79680450
REAG - ASSET MANAGEMENT S.A,18606232
REAG - RIACHO IMOBILIARIO - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,18836451
REAG - AGROPECUARIA LTDA,20422770
REAG - SECURITIES S.A,20451953
REAG - JUVIA FUNDO DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO,21556651
REAG - HELVETIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO,21596695 PRIVADO
REAG - RDH - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,22081786
REAG - CASH PLUS FUNDO DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO,22614205
REAG - RECEBIVEIS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO - PADRONIZADOS ABERTO,22945880 - FIDC - NP
REAG - WM GESTORA DE PATRIMONIO LTDA,05119639
REAG - GLASS- INDUSTRIA E COMERCIO LTDA,05841303
REAG - CAPITAL HOLDING S.A,10452416
REAG - BRAZIL LLC,10561747
REAG - BERKANA INVESTIMENTOS LTDA,10757908
REAG - GESTAO DE CREDITO LTDA,10896871
REAG - TRANSPORTES LTDA,11602461
REAG - FARMACIA LTDA,11832576
REAG - ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,12283444
REAG - SPECIALTY FINANCE LTDA,14084509
REAG - INVESTIMENTOS SA,14127813
REAG - SUCCESS - FUNDO DE INVESTIMENTO IMOBILIARIO,15348117
REAG - ENGENHARIA EIRELI,16455236
REAG - USA LLC,16727848
REAG - HY DINAMICO FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO,16858916
REAG - SERVICOS DE DESENHO TECNICO LTDA,17328704
REAG - MULTI ATIVOS IMOBILIARIOS  FUNDO DE INVESTIMENTO IMOBILIARIO,17374696
